SarahSearch0,Bondage College - Chapter 14 - Exploring the Club
SarahSearch1,"You wander in many club rooms, looking for Sarah."
SarahSearch2,"You find her in a small bedroom, kneeling on a bed."
SarahSearch3,"She's all alone, wearing some revealing red undies."
SarahSearch4,She's blindfolded and shackled on her four limbs.
SarahSearch5,"She seems to hear you enter, not recognizing you."
SarahSurprise0,Bondage College - Chapter 14 - Exploring the Club
SarahSurprise1,You wander in the club and find Sarah from college.
SarahSurprise2,"She's in a small bedroom, kneeling on a large bed."
SarahSurprise3,"She's all alone, wearing some revealing red undies."
SarahSurprise4,She's blindfolded and shackled on her four limbs.
SarahSurprise5,"She seems to hear you enter, not recognizing you."
SarahExplore0,Bondage College - Chapter 14 - Exploring the Club
SarahExplore1,"You wander in the club, exploring many kinky rooms."
SarahExplore2,"In a small bedroom, you find a blond girl on a bed."
SarahExplore3,"She's all alone, wearing some revealing red undies."
SarahExplore4,She's blindfolded and shackled on her four limbs.
SarahExplore5,"She seems to hear you enter, not recognizing you."
AmandaSearch0,Amanda from college suddenly enters the room.
AmandaSearch1,"She's almost naked, wearing undies with a strap-on."
AmandaSearch2,Her arms and torso are tied up with hemp ropes.
AmandaSearch3,And her mouth is sealed shut with silver duct tape.
AmandaSearch4,She seems somewhat relieved to see you and nods.
AmandaSearch5,She mumbles something and makes pleading eyes.
AmandaExplore0,A brown-haired girl enters the bedroom quickly.
AmandaExplore1,"She's almost naked, wearing undies with a strap-on."
AmandaExplore2,Her arms and torso are tied up with hemp ropes.
AmandaExplore3,And her mouth is sealed shut with silver duct tape.
AmandaExplore4,She seems a little scared seeing you and blushes.
AmandaExplore5,She mumbles something and makes pleading eyes.
Sophie0,"A tall woman with gray hair, boldly enters the room."
Sophie1,"She fully dressed as a Mistress, wearing thick leather."
Sophie2,She holds a menacing crop that she swings in the air.
Sophie3,She inspects the room and stares at you curiously.
